Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
1,Michael Thomas (NO),149,185,"1,725",11.6,49,25,9,1,-9,0,0,16,225.6,14.1,85.90%,2019,WR
2,Chris Godwin (TB),86,121,"1,333",15.5,71,38,9,1,8,0,0,14,190.1,13.6,94.70%,2019,WR
3,Kenny Golladay (FA),65,116,"1,190",18.3,75,43,11,0,0,0,1,16,183,11.4,2.10%,2019,WR
4,Cooper Kupp (LAR),94,134,"1,161",12.4,66,33,10,2,4,0,0,16,176.5,11,99.90%,2019,WR
5,Julio Jones (FA),99,157,"1,394",14.1,54,34,6,2,-3,0,0,15,175.1,11.7,7.20%,2019,WR
6,DeVante Parker (NE),72,128,"1,202",16.7,51,39,9,0,0,0,0,16,174.2,10.9,2.80%,2019,WR
7,Amari Cooper (CLE),79,119,"1,189",15.1,53,31,8,1,6,0,0,16,167.5,10.5,97.50%,2019,WR
8,Mike Evans (TB),67,118,"1,157",17.3,67,34,8,0,0,0,0,13,165.7,12.7,93.80%,2019,WR
9,DeAndre Hopkins (TEN),104,150,"1,165",11.2,43,24,7,2,18,0,0,15,165.5,11,96.60%,2019,WR
10,A.J. Brown (PHI),52,84,"1,051",20.2,91,40,8,3,60,1,0,16,165.1,10.3,99.90%,2019,WR
11,Keenan Allen (LAC),104,149,"1,199",11.5,45,21,6,3,16,0,0,16,157.5,9.8,97.60%,2019,WR
12,Allen Robinson II (PIT),98,154,"1,147",11.7,49,22,7,1,2,0,0,16,156.9,9.8,4.00%,2019,WR
13,Julian Edelman (FA),100,153,"1,117",11.2,44,19,6,8,27,0,1,16,156.3,9.8,12.10%,2019,WR
14,Jarvis Landry (FA),83,138,"1,174",14.1,65,30,6,1,10,0,0,16,154.4,9.7,7.10%,2019,WR
15,Tyler Lockett (SEA),82,110,"1,057",12.9,44,25,8,4,-5,0,0,16,153.2,9.6,93.90%,2019,WR
16,DJ Chark Jr. (CAR),73,118,"1,008",13.8,69,29,8,2,20,0,0,15,152.8,10.2,54.00%,2019,WR
17,Courtland Sutton (DEN),72,124,"1,112",15.4,70,36,6,3,17,0,0,16,150.4,9.4,73.30%,2019,WR
18,Stefon Diggs (BUF),63,94,"1,130",17.9,66,45,6,5,61,0,3,15,149.1,9.9,99.90%,2019,WR
19,John Brown (FA),72,115,"1,060",14.7,53,26,6,2,7,0,0,15,147.8,9.9,0.00%,2019,WR
20,Michael Gallup (DAL),66,113,"1,107",16.8,62,32,6,0,0,0,0,14,146.7,10.5,50.20%,2019,WR
21,DJ Moore (CHI),87,135,"1,175",13.5,52,29,4,6,40,0,1,15,143.5,9.6,95.40%,2019,WR
22,Robert Woods (HOU),90,139,"1,134",12.6,48,20,2,17,115,1,0,15,142.9,9.5,4.50%,2019,WR
23,Calvin Ridley (JAC),63,93,866,13.7,36,16,7,2,34,0,0,13,134,10.3,94.90%,2019,WR
24,Terry McLaurin (WAS),58,93,919,15.8,75,26,7,0,0,0,0,14,133.9,9.6,95.70%,2019,WR
25,Tyler Boyd (CIN),90,148,"1,046",11.6,47,19,5,4,23,0,2,16,132.9,8.3,48.10%,2019,WR
26,Deebo Samuel (SF),57,81,802,14.1,42,24,3,14,159,3,1,15,132.1,8.8,98.70%,2019,WR
27,Marvin Jones Jr. (DET),62,91,779,12.6,47,15,9,2,0,0,0,13,131.9,10.1,2.90%,2019,WR
28,Tyreek Hill (MIA),58,89,860,14.8,57,26,7,8,23,0,0,12,130.3,10.9,100.00%,2019,WR
29,Davante Adams (LV),83,127,997,12,58,22,5,0,0,0,1,12,129.7,10.8,99.90%,2019,WR
30,DK Metcalf (SEA),58,100,900,15.5,54,26,7,2,11,0,3,16,129.1,8.1,99.30%,2019,WR
31,Odell Beckham Jr. (BAL),74,133,"1,035",14,89,28,4,3,10,0,1,16,127.3,8,84.90%,2019,WR
32,Emmanuel Sanders (FA),66,97,869,13.2,75,22,5,0,0,0,0,17,124.3,7.3,0.00%,2019,WR
33,Darius Slayton (NYG),48,84,740,15.4,55,23,8,0,0,0,0,14,122,8.7,2.60%,2019,WR
34,Jamison Crowder (NYG),78,122,833,10.7,41,15,6,1,4,0,0,16,119.7,7.5,0.20%,2019,WR
35,Cole Beasley (NYG),67,106,778,11.6,51,14,6,0,0,0,0,15,117.8,7.9,0.10%,2019,WR
36,Curtis Samuel (WAS),54,105,627,11.6,44,13,6,19,130,1,0,16,117.7,7.4,9.00%,2019,WR
37,Mike Williams (LAC),49,90,"1,001",20.4,56,38,2,1,2,0,0,15,112.3,7.5,92.20%,2019,WR
38,Robbie Chosen (MIA),52,96,779,15,92,22,5,1,4,0,0,16,110.3,6.9,0.70%,2019,WR
39,Chris Conley (SF),47,90,775,16.5,70,21,5,0,0,0,0,16,109.5,6.8,0.10%,2019,WR
40,Diontae Johnson (PIT),59,92,680,11.5,45,13,5,4,41,0,2,16,104.1,6.5,92.30%,2019,WR
41,Golden Tate (FA),49,85,676,13.8,64,21,6,1,16,0,1,11,103.2,9.4,0.00%,2019,WR
42,Larry Fitzgerald (FA),75,109,804,10.7,54,19,4,0,0,0,1,16,102.4,6.4,0.20%,2019,WR
43,Breshad Perriman (IND),36,69,645,17.9,44,23,6,2,16,0,0,14,102.1,7.3,0.00%,2019,WR
44,Tyrell Williams (FA),42,64,651,15.5,46,20,6,0,0,0,0,14,101.1,7.2,0.00%,2019,WR
45,Marquise Brown (ARI),46,71,584,12.7,83,18,7,0,0,0,0,14,100.4,7.2,89.50%,2019,WR
46,Christian Kirk (JAC),68,108,709,10.4,69,12,3,10,93,0,0,13,100.2,7.7,90.80%,2019,WR
47,Randall Cobb (NYJ),55,83,828,15.1,59,24,3,3,11,0,1,15,99.9,6.7,0.70%,2019,WR
48,Zach Pascal (ARI),41,72,607,14.8,37,14,5,2,16,0,0,16,94.3,5.9,0.10%,2019,WR
49,Mecole Hardman Jr. (NYJ),26,41,538,20.7,83,22,6,4,17,0,2,16,93.5,5.8,7.40%,2019,WR
50,Dede Westbrook (FA),66,101,660,10,39,14,3,5,27,0,0,15,90.7,6,0.00%,2019,WR
51,James Washington (NO),44,80,735,16.7,79,27,3,0,0,0,1,15,89.5,6,0.10%,2019,WR
52,Sammy Watkins (FA),52,90,673,12.9,68,16,3,2,12,0,1,14,86.5,6.2,1.60%,2019,WR
53,William Fuller V (FA),49,71,670,13.7,54,25,3,0,0,0,0,11,85,7.7,0.00%,2019,WR
54,Sterling Shepard (NYG),57,83,576,10.1,36,9,3,6,72,0,0,10,84.8,8.5,1.00%,2019,WR
55,Hunter Renfrow (LV),49,71,605,12.3,65,14,4,0,0,0,0,13,84.5,6.5,9.90%,2019,WR
56,Adam Thielen (CAR),30,48,418,13.9,44,12,6,4,6,1,0,10,84.4,8.4,61.10%,2019,WR
57,T.Y. Hilton (FA),45,68,501,11.1,35,8,5,0,0,0,0,10,80.1,8,3.00%,2019,WR
58,Kenny Stills (FA),40,55,561,14,45,18,4,0,0,0,0,13,80.1,6.2,0.00%,2019,WR
59,Alshon Jeffery (FA),43,73,490,11.4,38,8,4,1,2,1,0,10,79.2,7.9,0.00%,2019,WR
60,Danny Amendola (FA),62,97,678,10.9,47,11,1,0,0,0,0,15,78.6,5.2,0.00%,2019,WR
61,Steven Sims Jr. (HOU),34,56,310,9.1,65,6,4,9,85,1,0,16,75.5,4.7,0.00%,2019,WR
62,Brandin Cooks (DAL),42,72,583,13.9,57,12,2,6,52,0,0,14,75.5,5.4,87.20%,2019,WR
63,Anthony Miller (FA),52,85,656,12.6,35,16,2,1,-1,0,1,16,75.5,4.7,0.00%,2019,WR
64,Corey Davis (NYJ),43,69,601,14,38,11,2,0,0,0,0,15,72.1,4.8,2.00%,2019,WR
65,Phillip Dorsett II (LV),29,54,397,13.7,58,13,5,3,21,0,0,14,71.8,5.1,0.10%,2019,WR
66,JuJu Smith-Schuster (NE),42,70,552,13.1,76,14,3,0,0,0,1,12,71.2,5.9,75.20%,2019,WR
67,Demarcus Robinson (LAR),32,55,449,14,44,12,4,0,0,0,0,16,68.9,4.3,0.30%,2019,WR
68,Allen Lazard (NYJ),35,52,477,13.6,43,10,3,1,21,0,0,16,67.8,4.2,64.50%,2019,WR
69,Kendrick Bourne (NE),30,44,358,11.9,30,5,5,0,0,0,0,16,67.8,4.2,0.80%,2019,WR
