Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
1,Justin Jefferson (MIN),128,184,"1,809",14.1,64,49,8,4,24,1,0,17,240.6,14.2,100.00%,2022,WR
2,Davante Adams (LV),100,180,"1,516",15.2,60,47,14,3,-1,0,0,17,235.5,13.9,99.90%,2022,WR
3,Tyreek Hill (MIA),119,170,"1,710",14.4,64,45,7,7,32,1,0,17,222.2,13.1,100.00%,2022,WR
4,A.J. Brown (PHI),88,145,"1,496",17,78,45,11,0,0,0,2,17,211.6,12.4,99.90%,2022,WR
5,Stefon Diggs (BUF),110,156,"1,455",13.2,53,35,11,1,-3,0,0,17,211.2,12.4,99.90%,2022,WR
6,CeeDee Lamb (DAL),107,156,"1,359",12.7,39,30,9,10,47,0,0,17,194.6,11.4,99.90%,2022,WR
7,Jaylen Waddle (MIA),75,117,"1,356",18.1,84,41,8,3,26,0,1,17,184.2,10.8,99.90%,2022,WR
8,Amari Cooper (CLE),78,132,"1,160",14.9,55,31,9,0,0,0,0,17,169,9.9,97.50%,2022,WR
9,Amon-Ra St. Brown (DET),106,146,"1,161",11,49,15,6,9,95,0,0,16,161.6,10.1,99.90%,2022,WR
10,DeVonta Smith (PHI),95,136,"1,196",12.6,45,30,7,0,0,0,1,17,159.6,9.4,99.20%,2022,WR
11,Christian Kirk (JAC),84,133,"1,108",13.2,49,27,8,5,11,0,1,17,157.9,9.3,90.80%,2022,WR
12,Ja'Marr Chase (CIN),87,134,"1,046",12,60,22,9,5,8,0,2,13,155.4,12,100.00%,2022,WR
13,Tyler Lockett (SEA),84,117,"1,033",12.3,40,23,9,0,0,0,2,16,153.3,9.6,93.90%,2022,WR
14,Terry McLaurin (WAS),77,120,"1,191",15.5,52,34,5,7,29,0,0,17,152,8.9,95.80%,2022,WR
15,Brandon Aiyuk (SF),78,114,"1,015",13,54,23,8,2,23,0,1,17,149.8,8.8,91.90%,2022,WR
16,Mike Evans (TB),77,127,"1,124",14.6,63,34,6,0,0,0,0,15,148.4,9.9,93.90%,2022,WR
17,Tee Higgins (CIN),75,110,"1,042",13.9,59,24,7,0,0,0,0,15,148.2,9.9,99.80%,2022,WR
18,Jerry Jeudy (DEN),67,100,972,14.5,67,31,6,4,40,0,0,15,137.2,9.1,93.60%,2022,WR
19,DK Metcalf (SEA),90,141,"1,048",11.6,54,20,6,0,0,0,2,17,136.8,8,99.30%,2022,WR
20,DJ Moore (CHI),63,118,888,14.1,62,27,7,10,53,0,0,17,136.1,8,95.50%,2022,WR
