Rank,Player,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,Fantasy_yr,Posit
80,Justice Hill (BAL),49,262,5.3,34,2,0,12,12,58,4.8,0,1,15,30,2,0.30%,2022,RB
79,DeeJay Dallas (SEA),35,186,5.3,27,1,0,17,19,126,7.4,0,0,15,30.2,2,0.80%,2022,RB
78,Marlon Mack (FA),16,84,5.3,17,0,1,8,10,99,12.4,1,0,8,30.3,3.8,6.00%,2022,RB
77,Ty Johnson (FA),30,160,5.3,32,3,1,12,24,88,7.3,0,0,12,30.8,2.6,0.10%,2022,RB
76,Jordan Mason (SF),43,258,6,55,4,1,0,0,0,0,0,0,12,31.8,2.7,0.70%,2022,RB
75,Raheem Blackshear (CAR),23,77,3.3,16,0,3,10,12,93,9.3,0,1,13,33,2.5,0.30%,2022,RB
74,Mark Ingram II (FA),62,233,3.8,14,0,1,16,18,68,4.3,0,2,10,34.1,3.4,0.10%,2022,RB
73,Rex Burkhead (FA),26,80,3.1,9,0,0,37,51,204,5.5,1,0,15,34.4,2.3,5.10%,2022,RB
72,Kyle Juszczyk (SF),7,26,3.7,9,0,1,19,23,200,10.5,1,0,13,34.6,2.7,0.40%,2022,RB
71,Justin Jackson (FA),42,170,4,27,1,1,12,19,101,8.4,1,0,15,39.1,2.6,0.10%,2022,RB
70,Matt Breida (NYG),54,220,4.1,18,0,1,20,25,118,5.9,0,0,17,39.8,2.3,0.90%,2022,RB
69,Elijah Mitchell (SF),45,279,6.2,37,2,2,3,4,7,2.3,0,0,5,40.6,8.1,56.30%,2022,RB
68,Boston Scott (PHI),54,217,4,21,1,3,5,6,15,3,0,0,15,41.2,2.7,0.80%,2022,RB
67,Caleb Huntley (FA),76,366,4.8,30,3,1,2,2,3,1.5,0,0,12,42.9,3.6,0.10%,2022,RB
66,Zonovan Knight (NYJ),85,300,3.5,48,3,1,13,14,100,7.7,0,0,7,46,6.6,6.00%,2022,RB
65,Rashaad Penny (PHI),57,346,6.1,41,9,2,4,5,16,4,0,0,5,48.2,9.6,85.10%,2022,RB
64,JaMycal Hasty (JAC),46,194,4.2,61,4,2,21,27,121,5.8,1,0,14,49.5,3.5,0.80%,2022,RB
63,Joshua Kelley (LAC),69,287,4.2,22,1,2,14,25,101,7.2,0,0,12,50.8,4.2,3.20%,2022,RB
62,Nyheim Hines (BUF),24,33,1.4,9,0,1,30,37,241,8,1,0,16,51.4,3.2,1.80%,2022,RB
61,Zack Moss (IND),93,456,4.9,43,5,1,11,13,39,3.5,0,1,13,53.5,4.1,2.80%,2022,RB
