Rank,Player,REC,TGT,YDS,Y.R,LG,X20.,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS.G,ROST,Fantasy_yr,Posit
134,Keelan Cole Sr. (LV),10,21,141,14.1,30,4,1,0,0,0,0,12,20.1,1.7,0.00%,2022,WR
133,Zach Pascal (ARI),15,19,150,10,34,3,1,1,0,0,0,15,21,1.4,0.10%,2022,WR
130,David Bell (CLE),24,35,214,8.9,20,1,0,0,0,0,0,15,21.4,1.4,0.70%,2022,WR
131,Skyy Moore (KC),22,33,250,11.4,30,3,0,3,24,0,3,16,21.4,1.3,60.20%,2022,WR
132,Sterling Shepard (NYG),13,24,154,11.8,65,4,1,0,0,0,0,3,21.4,7.1,1.00%,2022,WR
129,Marquez Callaway (DEN),16,32,158,9.9,33,3,1,0,0,0,0,10,21.8,2.2,0.10%,2022,WR
128,River Cracraft (MIA),9,14,102,11.3,22,1,2,0,0,0,0,8,22.2,2.8,0.10%,2022,WR
127,Amari Rodgers (IND),16,25,204,12.8,37,4,1,2,7,0,2,15,23.1,1.5,0.10%,2022,WR
126,Brandon Powell (MIN),24,32,156,6.5,16,0,0,17,80,0,0,17,23.6,1.4,0.10%,2022,WR
125,Jalen Nailor (MIN),9,13,179,19.9,47,6,1,0,0,0,0,8,23.9,3,0.10%,2022,WR
124,Khalil Shakir (BUF),10,20,161,16.1,31,5,1,0,0,0,0,10,24.1,2.4,3.90%,2022,WR
123,Byron Pringle (WAS),10,16,135,13.5,35,4,2,0,0,0,0,10,25.5,2.6,0.00%,2022,WR
122,Velus Jones Jr. (CHI),7,14,107,15.3,44,4,1,9,103,1,3,11,27,2.5,0.20%,2022,WR
121,Ashton Dulin (IND),15,22,207,13.8,39,3,1,2,8,0,0,10,27.5,2.8,0.10%,2022,WR
120,Dyami Brown (WAS),5,14,143,28.6,75,6,2,1,15,0,0,9,27.8,3.1,0.20%,2022,WR
119,KhaDarel Hodge (ATL),13,20,202,15.5,39,3,1,0,0,0,0,13,28.2,2.2,0.10%,2022,WR
118,Wan'Dale Robinson (NYG),23,31,227,9.9,19,0,1,2,-1,0,0,6,28.6,4.8,7.10%,2022,WR
117,Sammy Watkins (FA),16,27,325,20.3,55,15,0,0,0,0,1,9,30.5,3.4,1.60%,2022,WR
116,Phillip Dorsett II (LV),20,40,257,12.9,34,6,1,0,0,0,0,15,31.7,2.1,0.10%,2022,WR
115,Robbie Chosen (MIA),20,44,282,14.1,75,7,1,0,0,0,1,12,32.2,2.7,0.70%,2022,WR
114,Kendall Hinton (DEN),24,33,311,13,35,8,0,2,13,0,0,11,32.4,2.9,0.10%,2022,WR
113,Tre'Quan Smith (NO),19,27,278,14.6,48,6,1,0,0,0,0,10,33.8,3.4,0.20%,2022,WR
112,Michael Thomas (NO),16,22,171,10.7,21,2,3,0,0,0,0,3,35.1,11.7,85.90%,2022,WR
111,Jarvis Landry (FA),25,39,272,10.9,40,5,1,0,0,0,0,9,35.2,3.9,7.10%,2022,WR
110,A.J. Green (FA),24,47,236,9.8,77,4,2,0,0,0,0,13,37.6,2.9,0.60%,2022,WR
109,Rashod Bateman (BAL),15,28,285,19,75,12,2,0,0,0,1,6,38.5,6.4,39.30%,2022,WR
108,Damiere Byrd (CAR),13,23,268,20.6,75,8,2,0,0,0,0,12,38.8,3.2,0.00%,2022,WR
107,Shi Smith (CAR),22,41,296,13.5,38,8,2,0,0,0,1,17,39.6,2.3,0.10%,2022,WR
106,Braxton Berrios (MIA),18,32,145,8.1,25,2,0,9,91,2,0,17,39.7,2.3,0.90%,2022,WR
105,Kadarius Toney (KC),16,20,171,10.7,38,5,2,7,82,1,1,9,41.3,4.6,79.20%,2022,WR
104,Hunter Renfrow (LV),36,50,330,9.2,27,3,2,0,0,0,1,10,43,4.3,9.90%,2022,WR
103,Justin Watson (KC),15,34,315,21,67,12,2,0,0,0,0,17,43.5,2.6,0.20%,2022,WR
102,Equanimeous St. Brown (CHI),21,38,323,15.4,56,9,1,6,54,0,0,16,43.7,2.7,0.20%,2022,WR
101,Ray-Ray McCloud III (SF),14,25,243,17.4,42,8,1,4,78,1,0,17,44.1,2.6,0.60%,2022,WR
100,Nelson Agholor (BAL),31,53,362,11.7,44,9,2,0,0,0,2,15,44.2,2.9,0.70%,2022,WR
99,Tyquan Thornton (NE),22,45,247,11.2,29,4,2,3,16,1,0,12,44.3,3.7,14.10%,2022,WR
98,Tutu Atwell (LAR),18,35,298,16.6,62,12,1,9,34,1,0,12,45.2,3.8,0.70%,2022,WR
