#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
1,1.01,Christian McCaffrey,RB,CAR,1.2,0.5,1.01,1.04,936,2020
2,1.03,Saquon Barkley,RB,NYG,2.5,0.7,1.01,1.06,960,2020
3,1.03,Ezekiel Elliott,RB,DAL,3.4,1.6,1.01,1.11,521,2020
4,1.05,Alvin Kamara,RB,NO,4.9,1.3,1.01,1.12,960,2020
5,1.06,Michael Thomas,WR,NO,5.6,1.6,1.01,1.11,811,2020
6,1.06,Clyde Edwards-Helaire,RB,KC,6.2,1.7,1.01,1.11,782,2020
7,1.06,Dalvin Cook,RB,MIN,6.2,1.5,1.02,1.11,873,2020
8,1.07,Derrick Henry,RB,TEN,7.4,1.7,1.02,1.12,900,2020
9,1.09,Josh Jacobs,RB,LV,9.1,1.7,1.02,2.05,648,2020
10,1.1,Davante Adams,WR,GB,10.4,1.9,1.04,2.09,832,2020
11,1.11,Austin Ekeler,RB,LAC,11.5,2.1,1.05,2.1,850,2020
12,1.12,Miles Sanders,RB,PHI,12,2.3,1.01,2.09,652,2020
13,2.01,Joe Mixon,RB,CIN,13.1,2.5,1.05,2.09,736,2020
14,2.02,Julio Jones,WR,ATL,14.4,2.8,1.06,2.1,856,2020
15,2.03,Kenyan Drake,RB,ARI,14.8,2.7,1.07,2.12,1008,2020
16,2.04,Tyreek Hill,WR,KC,15.8,3.1,1.05,3.01,944,2020
17,2.04,Nick Chubb,RB,CLE,16.3,3.1,1.01,2.12,910,2020
18,2.06,Aaron Jones,RB,GB,17.5,2.9,1.04,3.04,976,2020
19,2.07,DeAndre Hopkins,WR,ARI,18.5,3.4,1.06,3.04,931,2020
20,2.07,Patrick Mahomes,QB,KC,18.7,5.4,1.01,3.1,674,2020
21,2.08,Travis Kelce,TE,KC,19.9,3.9,1.02,3.09,877,2020
22,2.1,Chris Godwin,WR,TB,21.5,3,1.11,3.09,910,2020
23,2.1,James Conner,RB,PIT,22.4,3.4,2.01,4.01,852,2020
24,2.11,Lamar Jackson,QB,BAL,22.7,5.6,1.01,3.1,765,2020
25,2.12,George Kittle,TE,SF,24.4,3.9,1.08,3.11,816,2020
26,3.02,Kenny Golladay,WR,DET,25.8,3.1,2.01,3.11,820,2020
27,3.02,Chris Carson,RB,SEA,26.4,4,1.1,4.01,883,2020
28,3.04,Mike Evans,WR,TB,27.9,3.2,2.03,4.01,782,2020
29,3.04,David Johnson,RB,HOU,28.5,3.9,1.12,4.07,816,2020
30,3.05,Todd Gurley,RB,ATL,29.1,5,1.09,4.06,732,2020
31,3.06,Adam Thielen,WR,MIN,30.3,3.6,2.04,4.08,824,2020
32,3.08,Allen Robinson,WR,CHI,31.8,3.7,2.06,4.06,652,2020
33,3.09,Jonathan Taylor,RB,IND,32.6,4.6,1.05,4.08,726,2020
34,3.09,D.J. Moore,WR,CAR,32.6,3.8,2.08,4.12,712,2020
35,3.1,LeVeon Bell,RB,KC,34.5,5,1.12,5.01,643,2020
36,3.11,Leonard Fournette,RB,TB,35.4,4.9,1.01,5.03,565,2020
37,3.12,Odell Beckham Jr,WR,CLE,35.7,4.6,2.06,4.12,855,2020
38,4.01,JuJu Smith-Schuster,WR,PIT,36.9,4,2.12,4.12,895,2020
39,4.02,Amari Cooper,WR,DAL,38.1,4.4,2.08,4.12,780,2020
40,4.03,Melvin Gordon,RB,DEN,39.4,4.9,2.04,5.07,861,2020
41,4.04,Cooper Kupp,WR,LAR,40.3,4.3,2.09,5.03,805,2020
42,4.05,Calvin Ridley,WR,ATL,40.9,4.2,3.03,5.07,906,2020
43,4.06,Mark Andrews,TE,BAL,42.4,6.3,2.01,5.12,508,2020
44,4.06,Robert Woods,WR,LAR,42.4,3.6,3.07,5.06,795,2020
45,4.06,Mark Ingram,RB,BAL,42.5,5.1,2.07,5.1,759,2020
46,4.08,A.J. Brown,WR,TEN,44.4,4,3.01,5.09,588,2020
47,4.09,D.K. Metcalf,WR,SEA,45.3,4.4,3.02,5.11,612,2020
48,4.1,Devin Singletary,RB,BUF,46.4,6.4,2.1,6.08,469,2020
49,4.11,D.J. Chark,WR,JAX,47.5,4.7,3.08,6.03,754,2020
50,5.01,Raheem Mostert,RB,SF,49.4,6.1,3.06,6.09,776,2020
51,5.02,Tyler Lockett,WR,SEA,49.9,4.3,3.02,6.07,701,2020
52,5.03,Zach Ertz,TE,PHI,50.6,6.9,2.12,6.09,627,2020
53,5.03,Terry McLaurin,WR,WAS,50.8,3.9,2.11,6.07,667,2020
54,5.05,Cam Akers,RB,LAR,52.8,5.7,3.06,6.08,809,2020
55,5.05,Kareem Hunt,RB,CLE,53.1,6,2.09,6.08,835,2020
56,5.06,Keenan Allen,WR,LAC,53.5,4.7,3.09,6.12,845,2020
57,5.07,Dak Prescott,QB,DAL,54.7,7.6,3.01,7.02,444,2020
58,5.08,Ronald Jones II,RB,TB,56.5,5.5,3.08,6.12,838,2020
59,5.1,T.Y. Hilton,WR,IND,57.5,5,4.07,7.06,685,2020
60,5.1,Courtland Sutton,WR,DEN,58.1,5.5,3.02,6.12,825,2020
61,5.12,David Montgomery,RB,CHI,59.7,6.4,3.08,7.04,504,2020
62,5.12,Marquise Brown,WR,BAL,60,5.5,3.06,7.05,684,2020
63,6.01,D'Andre Swift,RB,DET,61.4,5.5,4.04,7.03,556,2020
64,6.02,Darren Waller,TE,LV,61.6,6.4,4.01,8.05,564,2020
65,6.02,Russell Wilson,QB,SEA,62,8.1,2.12,7.1,588,2020
66,6.03,Kyler Murray,QB,ARI,62.6,8.1,3.09,8.02,408,2020
67,6.05,Stefon Diggs,WR,BUF,65,5.8,3.06,7.1,885,2020
68,6.07,DeVante Parker,WR,MIA,66.7,5.8,2.08,8.02,754,2020
69,6.07,J.K. Dobbins,RB,BAL,67,5.2,4.12,7.11,498,2020
70,6.09,Deshaun Watson,QB,HOU,69.3,6.4,3.01,8.08,595,2020
71,6.1,A.J. Green,WR,CIN,69.8,6.4,4.12,9.01,791,2020
72,6.1,Rob Gronkowski,TE,TB,70.4,9.3,3.11,8.12,348,2020
73,6.11,Will Fuller,WR,HOU,70.5,6.1,5.01,8.11,854,2020
74,6.12,Michael Gallup,WR,DAL,72.2,6.7,5.01,8.12,833,2020
75,7.01,James White,RB,NE,72.7,6.8,5.02,8.09,585,2020
76,7.03,Marlon Mack,RB,IND,74.6,8.3,2.07,8.09,522,2020
77,7.03,Evan Engram,TE,NYG,74.8,6.8,5.04,9.04,446,2020
78,7.05,Julian Edelman,WR,NE,77.2,6.7,4.1,9.01,709,2020
79,7.06,Tyler Boyd,WR,CIN,78.5,7,5.01,8.12,873,2020
80,7.07,Antonio Gibson,RB,WAS,79,6.5,5.12,9.01,464,2020
81,7.07,Hayden Hurst,TE,ATL,79.4,6.9,5.09,9.07,410,2020
82,7.08,Jordan Howard,RB,PHI,80,7.2,4.11,9.02,502,2020
83,7.08,Drew Brees,QB,NO,80.1,9.2,2.11,9.09,386,2020
84,7.09,Brandin Cooks,WR,HOU,81.5,7.1,5.08,9.03,751,2020
85,7.12,Zack Moss,RB,BUF,83.7,7.4,5.07,9.03,657,2020
86,7.12,Phillip Lindsay,RB,DEN,83.8,7.6,5.03,9.03,601,2020
87,8.01,Tarik Cohen,RB,CHI,84.6,6.8,5.12,9.09,595,2020
88,8.01,Matt Ryan,QB,ATL,84.8,8.7,4.03,10.03,433,2020
89,8.01,Jarvis Landry,WR,CLE,85.5,7.6,5.02,9.08,733,2020
90,8.04,Tom Brady,QB,TB,88,9.5,4.1,10.07,381,2020
91,8.05,Deebo Samuel,WR,SF,89.1,8.3,1.02,10.02,608,2020
92,8.05,Diontae Johnson,WR,PIT,89.4,7.2,6.06,9.1,503,2020
93,8.06,Tyler Higbee,TE,LAR,89.7,9.7,5.09,10.08,370,2020
94,8.07,Matt Breida,RB,MIA,90.5,7.5,5.05,10.04,456,2020
