YEAR,NAME,ALIAS,VENUE_NAME,SURFACE,ROOF_TYPE,STATE
2018,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2018,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2018,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2018,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
2018,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2018,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2018,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2018,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2018,Cleveland Browns,CLE,FirstEnergy Stadium,Grass,Outdoor,OH
2018,Los Angeles Chargers,LAC,Dignity Health Sports Park,Grass,Outdoor,CA
2018,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2018,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2018,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2018,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2018,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2018,Oakland Raiders,OAK,RingCentral Coliseum,Grass,Outdoor,CA
2018,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2018,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
2018,Washington Redskins,WAS,FedExField,Grass,Outdoor,MD
2018,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2018,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2018,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2018,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2018,Los Angeles Rams,LA,Los Angeles Memorial Coliseum,Grass,Outdoor,CA
2018,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2018,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2018,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2018,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2018,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
2018,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2018,Jacksonville Jaguars,JAC,TIAA Bank Field,Grass,Outdoor,FL
2018,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2019,Cleveland Browns,CLE,FirstEnergy Stadium,Grass,Outdoor,OH
2019,Jacksonville Jaguars,JAC,TIAA Bank Field,Grass,Outdoor,FL
2019,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2019,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2019,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2019,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2019,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2019,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2019,Oakland Raiders,OAK,RingCentral Coliseum,Grass,Outdoor,CA
2019,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
2019,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2019,Washington Redskins,WAS,FedExField,Grass,Outdoor,MD
2019,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
2019,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2019,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2019,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2019,Los Angeles Chargers,LAC,Dignity Health Sports Park,Grass,Outdoor,CA
2019,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2019,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2019,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2019,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2019,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2019,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2019,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2019,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2019,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2019,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2019,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2019,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2019,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2019,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2019,Los Angeles Rams,LA,Los Angeles Memorial Coliseum,Grass,Outdoor,CA
2019,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
2020,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2020,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2020,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2020,Washington Football Team,WAS,FedExField,Grass,Outdoor,MD
