SEASON,TEAM,NFL,NFL_TEAM_ID,ESPN,PFR,PFF,PFFLABEL,FO,FULL,LOCATION,SHORT_LOCATION,NICKNAME,HYPHENATED,TEAM_SEASON
2018,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2018_ARI
2018,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2018_ATL
2018,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2018_BAL
2018,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2018_BUF
2018,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2018_CAR
2018,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2018_CHI
2018,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2018_CIN
2018,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2018_CLE
2018,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2018_DAL
2018,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2018_DEN
2018,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2018_DET
2018,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2018_GB
2018,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2018_HOU
2018,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2018_IND
2018,JAX,JAX,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2018_JAX
2018,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2018_KC
2018,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2018_LAC
2018,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2018_LA
2018,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2018_MIA
2018,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2018_MIN
2018,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2018_NE
2018,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2018_NO
2018,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2018_NYG
2018,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2018_NYJ
2018,OAK,OAK,2520,OAK,RAI,23.0,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,Oakland-Raiders,2018_OAK
2018,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2018_PHI
2018,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2018_PIT
2018,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2018_SEA
2018,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2018_SF
2018,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2018_TB
2018,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2018_TEN
2018,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,Washington-Redskins,2018_WAS
2019,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2019_ARI
2019,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2019_ATL
2019,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2019_BAL
2019,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2019_BUF
2019,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2019_CAR
2019,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2019_CHI
2019,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2019_CIN
2019,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2019_CLE
2019,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2019_DAL
2019,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2019_DEN
2019,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2019_DET
2019,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2019_GB
2019,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2019_HOU
2019,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2019_IND
2019,JAX,JAX,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2019_JAX
2019,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2019_KC
2019,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2019_LAC
2019,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2019_LA
2019,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2019_MIA
2019,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2019_MIN
2019,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2019_NE
2019,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2019_NO
2019,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2019_NYG
2019,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2019_NYJ
2019,OAK,OAK,2520,OAK,RAI,23.0,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,Oakland-Raiders,2019_OAK
2019,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2019_PHI
2019,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2019_PIT
2019,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2019_SEA
